C201 98 4.4691 0.1001 0.9928 0.0035 0.7898 0.033 0.0 0.0 0.0 0.0 -0.3206 0.0603 0.537 0.0869 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0157 0.0197 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1277 0.0334 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
C202 37 3.8648 0.6559 0.9771 0.1651 0.816 0.1426 0.0 0.0 0.0 0.0 0.2153 0.0809 0.3333 0.093 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0629 0.0293 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0374 0.0187 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
C203 71 4.0571 0.1173 0.9994 0.0038 0.8558 0.0557 -0.0008 0.007 -0.0002 0.002 -0.1112 0.0555 0.2806 0.1074 0.0 0.0 0.0 0.0 -0.0012 0.0097 0.0002 0.0014 0.0925 0.0407 -0.002 0.0167 -0.0031 0.0265 0.0 0.0 0.0 0.0 0.0029 0.0247 -0.0005 0.0046 -0.0083 0.0257 0.0 0.0 0.0 0.0 -0.0006 0.0052 0.0012 0.0097 0.0 0.0 0.0 0.0 0.0005 0.0044 0.0004 0.0033 
C300 72 3.8739 0.1721 1.0028 0.0109 0.8982 0.045 0.0 0.0 0.0 0.0 0.1192 0.0546 0.16 0.0576 0.0 0.0 0.0 0.0 0.1072 0.0338 0.0 0.0 0.2027 0.0549 0.0 0.0 0.0 0.0 -0.2241 0.0516 0.0 0.0 0.0 0.0 0.0 0.0 -0.0042 0.018 0.0 0.0 0.0 0.0 -0.0048 0.0179 0.0 0.0 0.0 0.0 0.0 0.0 0.0325 0.01 0.0 0.0 
C301 44 4.0386 0.0364 0.9904 0.0038 0.875 0.0243 0.0 0.0 0.0 0.0 -0.0795 0.0274 0.0167 0.0239 0.0 0.0 0.0 0.0 0.2688 0.0447 0.0 0.0 0.3064 0.0494 0.0 0.0 0.0 0.0 -0.2272 0.0373 0.0 0.0 0.0 0.0 0.0 0.0 0.0395 0.0159 0.0 0.0 0.0 0.0 0.0098 0.0113 0.0 0.0 0.0 0.0 0.0 0.0 0.0416 0.011 0.0 0.0 
C302 69 4.0849 0.0371 0.9929 0.003 0.8662 0.0193 0.1122 0.0275 -0.0414 0.017 0.0 0.0 -0.2957 0.0377 0.0 0.0 0.0 0.0 0.1023 0.0253 0.0429 0.0191 0.0 0.0 0.001 0.008 -0.0068 0.0062 0.0 0.0 0.0 0.0 0.4102 0.0526 -0.0061 0.0159 0.0659 0.0116 0.0 0.0 0.0 0.0 -0.0136 0.0112 0.0055 0.009 0.0 0.0 0.0 0.0 -0.054 0.0186 0.0571 0.0192 
C303 236 4.0774 0.0562 0.9954 0.0049 0.8632 0.0298 0.1195 0.031 -0.0541 0.0255 0.0 0.0 -0.2858 0.0592 0.0 0.0 0.0 0.0 0.1227 0.0299 0.0558 0.0237 0.0 0.0 -0.0056 0.0085 -0.0034 0.0083 0.0 0.0 0.0 0.0 0.402 0.0836 -0.0221 0.0198 0.067 0.0166 0.0 0.0 0.0 0.0 -0.0155 0.0114 0.0026 0.0106 0.0 0.0 0.0 0.0 -0.0507 0.0215 0.0511 0.0187 
C304 256 4.1218 0.0521 0.993 0.004 0.8558 0.0232 0.0747 0.0391 -0.0113 0.0297 0.0 0.0 -0.2916 0.0452 0.0 0.0 0.0 0.0 0.0874 0.0406 0.0118 0.0308 0.0 0.0 -0.0023 0.0087 0.0036 0.009 0.0 0.0 0.0 0.0 0.4171 0.0632 0.0031 0.0229 0.0625 0.0138 0.0 0.0 0.0 0.0 -0.013 0.0111 -0.0029 0.0113 0.0 0.0 0.0 0.0 -0.0469 0.0292 0.0375 0.0192 
C305 30 4.0889 0.0265 0.995 0.0026 0.8422 0.0093 0.135 0.0221 -0.0409 0.0203 0.0 0.0 -0.2911 0.0123 0.0 0.0 0.0 0.0 0.1291 0.0207 0.0388 0.0253 0.0 0.0 -0.01 0.0089 -0.0079 0.0071 0.0 0.0 0.0 0.0 0.4708 0.0187 -0.0141 0.0272 0.0693 0.0115 0.0 0.0 0.0 0.0 -0.0163 0.0138 0.0121 0.0097 0.0 0.0 0.0 0.0 -0.1112 0.0151 0.0005 0.0219 
C306 50 4.0916 0.0632 0.9934 0.0045 0.8653 0.0129 0.0 0.0 0.0 0.0 0.077 0.024 0.2342 0.0364 0.0 0.0 0.0 0.0 0.2191 0.0167 0.0 0.0 0.3236 0.023 0.0 0.0 0.0 0.0 -0.2468 0.0178 0.0 0.0 0.0 0.0 0.0 0.0 0.0248 0.0154 0.0 0.0 0.0 0.0 0.0475 0.0213 0.0 0.0 0.0 0.0 0.0 0.0 0.0268 0.009 0.0 0.0 
C307 63 4.1014 0.0699 0.9926 0.0059 0.868 0.0211 0.0647 0.0329 0.0119 0.0233 0.0 0.0 -0.3077 0.0419 0.0 0.0 0.0 0.0 0.0717 0.0315 -0.0093 0.0236 0.0 0.0 0.0058 0.0073 0.0039 0.0078 0.0 0.0 0.0 0.0 0.3764 0.0537 0.0125 0.0186 0.0595 0.0123 0.0 0.0 0.0 0.0 -0.0142 0.0086 -0.0038 0.0102 0.0 0.0 0.0 0.0 -0.0055 0.0191 -0.001 0.0166 
C308 27 4.1494 0.0368 0.9909 0.0044 0.835 0.0114 0.0 0.0 0.0 0.0 0.0896 0.0428 0.2446 0.0464 0.0 0.0 0.0 0.0 0.2062 0.0282 0.0 0.0 0.423 0.0279 0.0 0.0 0.0 0.0 -0.2983 0.0195 0.0 0.0 0.0 0.0 0.0 0.0 -0.0482 0.0313 0.0 0.0 0.0 0.0 0.1164 0.0274 0.0 0.0 0.0 0.0 0.0 0.0 0.016 0.0119 0.0 0.0 
C309 11 4.1392 0.0585 0.9957 0.0053 0.8635 0.01 0.0 0.0 0.0 0.0 0.0045 0.0231 0.1378 0.0457 0.0 0.0 0.0 0.0 0.2451 0.0375 0.0 0.0 0.3588 0.0257 0.0 0.0 0.0 0.0 -0.2586 0.0212 0.0 0.0 0.0 0.0 0.0 0.0 0.0031 0.0376 0.0 0.0 0.0 0.0 0.0415 0.0307 0.0 0.0 0.0 0.0 0.0 0.0 0.0323 0.0181 0.0 0.0 
C310 11 4.1855 0.0694 0.9917 0.0066 0.8409 0.0071 0.0 0.0 0.0 0.0 -0.0037 0.007 -0.3057 0.0287 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0016 0.0072 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5124 0.0395 0.0 0.0 0.0543 0.0171 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0053 0.0112 0.0 0.0 0.0 0.0 0.0 0.0 
C311 117 4.0002 0.1078 0.9984 0.0066 0.8929 0.0409 0.0891 0.0426 0.0184 0.0164 0.0 0.0 -0.17 0.0597 0.0 0.0 0.0 0.0 0.0695 0.0314 -0.0025 0.0169 0.0 0.0 0.0582 0.0215 0.0006 0.0092 0.0 0.0 0.0 0.0 0.2646 0.0836 0.0111 0.0416 0.021 0.0106 0.0 0.0 0.0 0.0 0.0299 0.0126 -0.0046 0.0074 0.0 0.0 0.0 0.0 -0.0038 0.0193 -0.0056 0.0152 
C312 140 3.8249 0.1644 1.0074 0.0101 0.93 0.0549 0.0 0.0 0.0 0.0 0.0405 0.0303 0.0412 0.0195 0.0 0.0 0.0 0.0 0.1399 0.0501 0.0 0.0 -0.2188 0.0549 0.0 0.0 0.0 0.0 0.1308 0.0382 0.0 0.0 0.0 0.0 0.0 0.0 0.014 0.0175 0.0 0.0 0.0 0.0 0.0163 0.0152 0.0 0.0 0.0 0.0 0.0 0.0 -0.001 0.0082 0.0 0.0 
C313 98 4.0275 0.1749 0.9972 0.0096 0.8954 0.0494 0.0 0.0 0.0 0.0 0.0309 0.0567 0.0994 0.0691 0.0 0.0 0.0 0.0 0.1255 0.0573 0.0 0.0 0.2258 0.0652 0.0 0.0 0.0 0.0 -0.1728 0.0761 0.0 0.0 0.0 0.0 0.0 0.0 0.0103 0.0379 0.0 0.0 0.0 0.0 -0.0025 0.0223 0.0 0.0 0.0 0.0 0.0 0.0 0.0159 0.0167 0.0 0.0 
